date,y1,y2
2000/12/18 - 2000/12/24,44.98,44.34
2000/12/25 - 2000/12/31,44.41,43.74
2001/01/01 - 2001/01/07,44.76,43.94
2001/01/08 - 2001/01/14,44.2,43.34
2001/01/15 - 2001/01/21,44.2,43.34
2001/01/22 - 2001/01/28,43.54,42.82
2001/01/29 - 2001/02/04,43.8,43.12
2001/02/05 - 2001/02/11,44.46,43.93
2001/02/12 - 2001/02/18,44.93,44.23
2001/02/19 - 2001/02/25,45.92,45.26
2001/02/26 - 2001/03/04,46.24,45.72
2001/03/05 - 2001/03/11,46.27,45.74
2001/03/12 - 2001/03/18,46.19,45.62
2001/03/19 - 2001/03/25,44.4,43.75
2001/03/26 - 2001/04/01,45.2,44.68
2001/04/02 - 2001/04/08,44.64,44.06
2001/04/09 - 2001/04/15,44.96,44.41
2001/04/16 - 2001/04/22,44.8,44.22
2001/04/23 - 2001/04/29,44.48,43.9
2001/04/30 - 2001/05/06,44.92,44.46
2001/05/07 - 2001/05/13,44.26,43.75
2001/05/14 - 2001/05/20,44.25,43.76
2001/05/21 - 2001/05/27,44.06,43.97
2001/05/28 - 2001/06/03,43.79,44.27
2001/06/04 - 2001/06/10,44.1,43.89
2001/06/11 - 2001/06/17,43.99,44.05
2001/06/18 - 2001/06/24,43.38,44.69
2001/06/25 - 2001/07/01,44.04,43.95
2001/07/02 - 2001/07/08,43.81,44.21
2001/07/09 - 2001/07/15,42.83,45.25
2001/07/16 - 2001/07/22,43.27,44.78
2001/07/23 - 2001/07/29,42.87,44.43
2001/07/30 - 2001/08/05,42.73,44.27
2001/08/06 - 2001/08/12,42.89,44.45
2001/08/13 - 2001/08/19,42.9,44.47
2001/08/20 - 2001/08/26,42.03,43.51
2001/08/27 - 2001/09/02,42.18,43.77
2001/09/03 - 2001/09/09,41.62,43.13
2001/09/10 - 2001/09/16,41.63,43.22
2001/09/17 - 2001/09/23,41.1,42.61
2001/09/24 - 2001/09/30,40.65,42.06
2001/10/01 - 2001/10/07,40.05,41.37
2001/10/08 - 2001/10/14,39.63,40.88
2001/10/15 - 2001/10/21,40.01,41.42
2001/10/22 - 2001/10/28,40.36,41.85
2001/10/29 - 2001/11/04,40.62,42.13
2001/11/05 - 2001/11/11,40.47,41.97
2001/11/12 - 2001/11/18,40.71,42.24
2001/11/19 - 2001/11/25,39.81,41.26
2001/11/26 - 2001/12/02,39.92,41.41
2001/12/03 - 2001/12/09,40.3,41.85
2001/12/10 - 2001/12/16,40.45,42.02
2001/12/17 - 2001/12/23,40.43,41.99
2001/12/24 - 2001/12/30,40.67,42.26
2001/12/31 - 2002/01/06,40.28,42
2002/01/07 - 2002/01/13,40.35,42.09
2002/01/14 - 2002/01/20,40.29,42.01
2002/01/21 - 2002/01/27,40.31,42.08
2002/01/28 - 2002/02/03,40.69,42.51
2002/02/11 - 2002/02/17,40.75,42.52
2002/02/18 - 2002/02/24,40.66,42.41
2002/02/25 - 2002/03/03,40.57,42.29
2002/03/04 - 2002/03/10,40.58,42.33
2002/03/11 - 2002/03/17,41.44,43.32
